space_number,title,type,side,facing,color_group,cost_or_fee,board_text,visual_icon,asset_filename,deed_or_deck_connection,production_notes
19,Pineapple Express,property,left,left_edge,orange,180,PINEAPPLE EXPRESS / 180 BUD BUCKS,pineapple with train smoke,space_19_pineapple_express.svg,deed_pineapple_express.svg,Orange set
20,Blue Dream,property,left,left_edge,orange,200,BLUE DREAM / 200 BUD BUCKS,blue dream cloud with crescent moon,space_20_blue_dream.svg,deed_blue_dream.svg,Orange set high property
21,Smoke Break,corner,top,top_edge,none,None,SMOKE BREAK,ashtray/smoke lounge icon,space_21_smoke_break.svg,none,Free Parking-style corner; no automatic jackpot unless rulebook adds it
22,GSC,property,top,top_edge,red,220,GSC / 220 BUD BUCKS,cookie leaf badge,space_22_gsc.svg,deed_gsc.svg,Red dessert set
23,High Chance,card,top,top_edge,none,Draw card,HIGH CHANCE / DRAW CARD,large question mark made of smoke,space_23_high_chance.svg,high_chance_deck,Top orientation
24,Cookies & Cream,property,top,top_edge,red,220,COOKIES & CREAM / 220 BUD BUCKS,cookies and cream swirl with leaf,space_24_cookies_and_cream.svg,deed_cookies_and_cream.svg,Red dessert set
25,Gelato,property,top,top_edge,red,240,GELATO / 240 BUD BUCKS,gelato scoop with leaf,space_25_gelato.svg,deed_gelato.svg,Red set high property
26,Hybrid,category,top,top_edge,category,200,HYBRID / 200 BUD BUCKS,split indica/sativa badge,space_26_hybrid.svg,deed_hybrid.svg,Category deed
27,Wedding Cake,property,top,top_edge,yellow,260,WEDDING CAKE / 260 BUD BUCKS,cake slice with leaf frosting,space_27_wedding_cake.svg,deed_wedding_cake.svg,Yellow set
28,Runtz,property,top,top_edge,yellow,260,RUNTZ / 260 BUD BUCKS,candy bag with small leaf,space_28_runtz.svg,deed_runtz.svg,Yellow set
29,Water Works,utility,top,top_edge,utility,150,WATER WORKS / 150 BUD BUCKS,water drop and irrigation pipe,space_29_water_works.svg,deed_water_works.svg,Utility; rent by dice roll
30,Zkittlez,property,top,top_edge,yellow,280,ZKITTLEZ / 280 BUD BUCKS,candy rainbow with leaf,space_30_zkittlez.svg,deed_zkittlez.svg,Yellow set high property
31,Compliance Check,corner,right,right_edge,none,Go to Trim Jail,COMPLIANCE CHECK / GO TO TRIM JAIL,clipboard with checkmark and warning arrow,space_31_compliance_check.svg,none,Go-to-jail corner; no passing Start collection
32,Chemdawg,property,right,right_edge,green,300,CHEMDAWG / 300 BUD BUCKS,chemical tag/dog badge with leaf,space_32_chemdawg.svg,deed_chemdawg.svg,Green set
33,Sour Diesel,property,right,right_edge,green,300,SOUR DIESEL / 300 BUD BUCKS,fuel can with smoke,space_33_sour_diesel.svg,deed_sour_diesel.svg,Green set
34,Community Stash,card,right,right_edge,none,Draw card,COMMUNITY STASH / DRAW CARD,stash chest or jar with leaf mark,space_34_community_stash.svg,community_stash_deck,Right orientation
35,GG4,property,right,right_edge,green,320,GG4 / 320 BUD BUCKS,glue drip leaf icon,space_35_gg4.svg,deed_gg4.svg,Green set high property
36,Autoflower,category,right,right_edge,category,200,AUTOFLOWER / 200 BUD BUCKS,clock flower cycle badge,space_36_autoflower.svg,deed_autoflower.svg,Category deed
37,High Chance,card,right,right_edge,none,Draw card,HIGH CHANCE / DRAW CARD,large question mark made of smoke,space_37_high_chance.svg,high_chance_deck,Right orientation
38,OG Kush,property,right,right_edge,dark_blue,350,OG KUSH / 350 BUD BUCKS,OG crown/kush mountain leaf,space_38_og_kush.svg,deed_og_kush.svg,Dark blue premium set
39,Lab Testing Fee,fee,right,right_edge,none,Pay 100,LAB TESTING FEE / PAY 100 BUD BUCKS,lab vial and test report,space_39_lab_testing_fee.svg,none,Fee space not ownable
40,Permanent Marker,property,right,right_edge,dark_blue,400,PERMANENT MARKER / 400 BUD BUCKS,marker pen with ink leaf,space_40_permanent_marker.svg,deed_permanent_marker.svg,Final premium property
